Poll_ID,Pollster,Date,n,Period,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
BT09250821P,Allensbach,2025-08-21,1051,01.08.–14.08.,28,16,11,4,10,22.5,4
BT05250823N,INSA,2025-08-23,1201,18.08.–22.08.,25,15,11,3,11,25,4
BT05250825O,INSA,2025-08-25,2002,22.08.–25.08.,25,15,10.5,3.5,11,25,4.5
BT02250826T,Forsa,2025-08-26,2501,19.08.–25.08.,25,13,12,3,11,26,3
BT05250829P,INSA,2025-08-29,1202,25.08.–29.08.,26,15,11,3,11,25,4
BT05250901Q,INSA,2025-09-01,2004,29.08.–01.09.,25.5,14.5,11,3.5,11,25,4
BT02250902U,Forsa,2025-09-02,2502,26.08.–01.09.,25,14,11,3,12,26,3
BT01250903A,Infratest dimap,2025-09-03,1342,01.09.–02.09.,27,14,11,3,10,25,4
BT06250905S,Forschungsgruppe Wahlen,2025-09-05,1269,02.09.–04.09.,27,15,11,3,10,25,3
BT05250907R,INSA,2025-09-07,1287,01.09.–05.09.,26,15,12,3,11,25,4
BT05250908S,INSA,2025-09-08,2006,05.09.–08.09.,25.5,14.5,11,3.5,10,25.5,4.5
BT02250909V,Forsa,2025-09-09,2500,02.09.–08.09.,25,14,11,3,12,26,3
BT03250910L,Verian,2025-09-10,1460,03.09.–09.09.,26,15,11,3,11,25,4
BT05250913T,INSA,2025-09-13,1204,08.09.–12.09.,25,14,12,3,11,25,4
BT02250916W,Forsa,2025-09-16,2502,09.09.–15.09.,25,14,12,3,11,25,4
BT05250916U,INSA,2025-09-16,2004,12.09.–15.09.,25.5,14.5,11.5,3,11,25.5,4
BT13250917O,YouGov,2025-09-17,1649,12.09.–15.09.,26,15,11,4,9,27,5
BT06250919T,Forschungsgruppe Wahlen,2025-09-19,1419,16.09.–18.09.,26,15,10,3,11,26,3
BT05250920V,INSA,2025-09-20,1200,15.09.–19.09.,25,15,11,3,11,26,4
BT02250923X,Forsa,2025-09-23,2504,16.09.–22.09.,25,13,11,3,11,27,4
BT05250923W,INSA,2025-09-23,2002,19.09.–22.09.,24.5,14.5,11,3.5,11.5,26,4
BT09250924Q,Allensbach,2025-09-24,1013,05.09.–17.09.,27,15,11,4,11,24,3
BT05250926X,INSA,2025-09-26,1200,22.09.–26.09.,25,15,12,3,11,26,4
BT05250929Y,INSA,2025-09-29,2006,26.09.–29.09.,25,15.5,11.5,3,11,26,4
BT02250930Y,Forsa,2025-09-30,2504,23.09.–29.09.,24,13,12,3,11,27,4
BT04250930E,GMS,2025-09-30,1012,24.09.–29.09.,26,15,11,3,10,25,3
BT06251002U,Forschungsgruppe Wahlen,2025-10-02,1300,29.09.–01.10.,27,15,11,3,11,25,NA
BT01251002B,Infratest dimap,2025-10-02,1306,29.09.–01.10.,26,14,12,3,10,26,3
BT05251004A,INSA,2025-10-04,1186,29.09.–02.10.,24,14,11,4,12,26,4
BT05251006B,INSA,2025-10-06,2010,02.10.–06.10.,24.5,14.5,11,3.5,11.5,26.5,4
BT02251007A,Forsa,2025-10-07,2001,30.09.–06.10.,24,13,12,3,12,26,4
BT03251010M,Verian,2025-10-10,1478,30.09.–07.10.,25,15,12,3,10,25,4
BT05251011C,INSA,2025-10-11,1224,06.10.–10.10.,24,14,12,4,11,26,4
BT02251014B,Forsa,2025-10-14,2500,07.10.–13.10.,24,13,12,3,12,26,4
BT05251014D,INSA,2025-10-14,2008,10.10.–13.10.,25,14,11.5,4,10.5,26.5,4
BT13251015P,YouGov,2025-10-15,1880,10.10.–13.10.,27,14,11,3,10,26,4
BT09251017R,Allensbach,2025-10-17,1044,26.09.–10.10.,26,15,11,3,11,25,4
BT05251018E,INSA,2025-10-18,1200,13.10.–17.10.,25,14,11,4,11,27,4
BT05251020F,INSA,2025-10-20,2006,17.10.–20.10.,24.5,14,11,4,11,27,4.5
BT02251021C,Forsa,2025-10-21,2505,14.10.–20.10.,24,14,12,3,11,26,4
BT06251024V,Forschungsgruppe Wahlen,2025-10-24,1272,21.10.–23.10.,27,15,11,NA,10,25,NA
BT05251024G,INSA,2025-10-24,1205,20.10.–24.10.,24,15,11,4,11,26,4
BT05251027H,INSA,2025-10-27,2004,24.10.–27.10.,24.5,15,11,3.5,11.5,26,4
BT02251028D,Forsa,2025-10-28,2502,21.10.–27.10.,25,13,12,3,12,26,3
BT05251101I,INSA,2025-11-01,1202,27.10.–30.10.,25,15,11,3,11,26,4
BT05251103J,INSA,2025-11-03,2002,30.10.–03.11.,25.5,15,11,3,11,25.5,4
BT02251104E,Forsa,2025-11-04,2500,28.10.–03.11.,24,14,12,3,12,26,3
BT01251106C,Infratest dimap,2025-11-06,1300,03.11.–05.11.,27,14,12,3,10,26,3
BT03251107N,Verian,2025-11-07,1471,28.10.–04.11.,26,15,12,3,10,25,3
BT06251107W,Forschungsgruppe Wahlen,2025-11-07,1322,04.11.–06.11.,26,14,12,NA,10,26,NA
BT05251108K,INSA,2025-11-08,1205,03.11.–07.11.,25,15,12,3,11,26,4
BT02251111F,Forsa,2025-11-11,2503,04.11.–10.11.,24,14,12,3,11,26,3
BT05251111L,INSA,2025-11-11,2010,07.11.–10.11.,25,15.5,11.5,3,10.5,26,4
BT09251114S,Allensbach,2025-11-14,1011,23.10.–06.11.,27,15.5,11,3.5,10,24,4
BT05251115M,INSA,2025-11-15,1203,10.11.–14.11.,25,15,11,3,11,26,4
BT04251117F,GMS,2025-11-17,1020,11.11.–17.11.,25,14,12,3,11,26,3
BT05251117N,INSA,2025-11-17,2006,14.11.–17.11.,24.5,15,11,3.5,11,26,4
BT02251118G,Forsa,2025-11-18,2502,11.11.–17.11.,25,14,12,3,11,26,NA
BT13251119Q,YouGov,2025-11-19,2005,14.11.–17.11.,27,14,11,4,11,25,4
BT06251121X,Forschungsgruppe Wahlen,2025-11-21,1207,18.11.–20.11.,27,14,12,NA,9,27,NA
BT05251122O,INSA,2025-11-22,1208,17.11.–21.11.,25,15,11,3,10,26,4
BT05251124P,INSA,2025-11-24,2008,21.11.–24.11.,25.5,15,11,3,10.5,26,4
BT02251125H,Forsa,2025-11-25,2501,18.11.–24.11.,25,14,12,3,11,26,3
BT05251128Q,INSA,2025-11-28,1198,24.11.–28.11.,25,15,11,3,10,27,4
BT02251202I,Forsa,2025-12-02,2501,25.11.–01.12.,25,14,12,3,11,26,3
BT05251202R,INSA,2025-12-02,2002,28.11.–01.12.,24.5,14.5,11,3.5,10.5,27,4
BT01251204D,Infratest dimap,2025-12-04,1306,01.12.–03.12.,27,14,12,3,10,25,4
BT05251206S,INSA,2025-12-06,1206,01.12.–05.12.,25,15,10,4,11,26,4
BT02251209J,Forsa,2025-12-09,2503,02.12.–08.12.,24,14,12,3,11,26,3
BT05251209T,INSA,2025-12-09,2007,05.12.–08.12.,24.5,15,10.5,4,11,26.5,4
BT03251210O,Verian,2025-12-10,1443,03.12.–09.12.,25,14,12,3,11,25,4
BT09251211T,Allensbach,2025-12-11,1029,22.11.–04.12.,27,14,12.5,4.5,9,25,3
BT06251212Y,Forschungsgruppe Wahlen,2025-12-12,1295,09.12.–11.12.,26,14,12,NA,11,25,NA
BT05251213U,INSA,2025-12-13,1201,08.12.–12.12.,24,14,11,4,11,26,4
BT02251216K,Forsa,2025-12-16,2503,09.12.–15.12.,24,13,13,3,11,26,3
BT05251216V,INSA,2025-12-16,2006,12.12.–15.12.,25,14,10.5,4,10.5,26,4.5
BT13251217R,YouGov,2025-12-17,1743,12.12.–15.12.,26,14,12,4,10,26,4
BT05251221W,INSA,2025-12-21,1201,15.12.–19.12.,24,14,12,4,11,26,4
BT02251223L,Forsa,2025-12-23,2003,16.12.–19.12.,24,13,13,3,11,26,3
BT05251223X,INSA,2025-12-23,2002,19.12.–22.12.,24.5,14,11.5,3.5,11,26,4
BT05260103Y,INSA,2026-01-03,1004,30.12.–02.01.,25,14,11,4,11,26,4
BT04260105G,GMS,2026-01-05,1027,23.12.–05.01.,24,15,12,3,10,27,4
BT05260106A,INSA,2026-01-06,2008,02.01.–05.01.,25,14.5,11,3.5,11,25.5,4
BT01260108E,Infratest dimap,2026-01-08,1323,05.01.–07.01.,28,13,12,3,10,25,3
BT05260110B,INSA,2026-01-10,1205,05.01.–09.01.,24,14,12,4,11,26,3
BT05260112C,INSA,2026-01-12,2010,09.01.–12.01.,24.5,14.5,12,4,10,26,4
BT02260113M,Forsa,2026-01-13,3004,05.01.–12.01.,24,13,13,3,11,26,3
BT13260114S,YouGov,2026-01-14,1673,09.01.–12.01.,25,16,12,4,10,25,3
BT03260116P,Verian,2026-01-16,1455,07.01.–13.01.,26,15,13,3,10,25,3
BT06260116A,Forschungsgruppe Wahlen,2026-01-16,1245,13.01.–15.01.,26,15,12,NA,10,25,NA
BT05260117D,INSA,2026-01-17,1202,12.01.–16.01.,25,14,12,4,11,26,4
BT02260120N,Forsa,2026-01-20,2501,13.01.–19.01.,25,14,12,3,10,26,3
BT05260120E,INSA,2026-01-20,2004,16.01.–19.01.,25,14,12,4,10.5,26,4
BT05260124F,INSA,2026-01-24,1204,19.01.–23.01.,25,15,11,4,10,26,4
BT02260127O,Forsa,2026-01-27,2501,20.01.–26.01.,26,14,12,3,11,24,3
BT05260127G,INSA,2026-01-27,2008,23.01.–26.01.,25,14.5,11.5,4,10.5,26,4.5
BT09260131U,Allensbach,2026-01-31,1077,06.01.–19.01.,27,15,11.5,3.5,10,25,NA
BT05260131H,INSA,2026-01-31,1204,26.01.–30.01.,26,16,11,3,10,26,4
BT02260203P,Forsa,2026-02-03,2503,27.01.–02.02.,26,14,12,3,11,24,3
BT05260203I,INSA,2026-02-03,2006,30.01.–02.02.,26,15.5,11.5,3,10,26,4
BT01260205F,Infratest dimap,2026-02-05,1319,02.02.–04.02.,26,15,12,3,10,24,3
BT06260206B,Forschungsgruppe Wahlen,2026-02-06,1289,03.02.–05.02.,26,15,13,NA,10,24,NA
BT05260207J,INSA,2026-02-07,1202,02.02.–06.02.,25,16,11,3,10,26,4
BT02260210Q,Forsa,2026-02-10,2503,03.02.–09.02.,26,14,13,3,11,24,3
BT05260210K,INSA,2026-02-10,2004,06.02.–09.02.,25.5,15.5,11,3,10,26,4
BT03260211Q,Verian,2026-02-11,1472,04.02.–10.02.,25,15,12,4,11,24,3
BT13260211T,YouGov,2026-02-11,1657,06.02.–09.02.,25,16,11,4,10,25,4
BT05260213L,INSA,2026-02-13,1202,09.02.–13.02.,25,16,11,3,10,25,4
BT05260216M,INSA,2026-02-16,2002,13.02.–16.02.,25.5,15.5,11,3,10,25.5,4
BT02260217R,Forsa,2026-02-17,2504,10.02.–16.02.,26,14,12,3,10,25,3
BT05260222N,INSA,2026-02-22,1203,16.02.–20.02.,25,16,11,3,11,25,3
BT02260224S,Forsa,2026-02-24,2504,17.02.–23.02.,26,14,12,3,11,24,3
BT05260224O,INSA,2026-02-24,2006,20.02.–23.02.,25,15.5,11,3.5,11,25,3.5
BT06260227C,Forschungsgruppe Wahlen,2026-02-27,1262,24.02.–26.02.,26,15,12,NA,11,24,NA
BT05260228P,INSA,2026-02-28,1203,23.02.–27.02.,26,16,11,3,10,25,3
BT09260302V,Allensbach,2026-03-02,1052,06.02.–19.02.,27,16,12,4,10,24,NA
BT02260303T,Forsa,2026-03-03,2503,24.02.–02.03.,26,14,12,3,11,24,3
BT04260303H,GMS,2026-03-03,1016,25.02.–02.03.,26,16,12,3,10,24,3
BT05260303Q,INSA,2026-03-03,2002,27.02.–02.03.,25.5,16,11.5,3,10,25,3.5
BT01260305G,Infratest dimap,2026-03-05,1317,02.03.–04.03.,28,14,13,NA,9,23,4
BT05260307R,INSA,2026-03-07,1200,02.03.–06.03.,26,15,11,4,11,25,3
BT02260310U,Forsa,2026-03-10,2502,03.03.–09.03.,26,14,12,3,11,24,3
BT05260310S,INSA,2026-03-10,2003,06.03.–09.03.,26,15.5,11.5,3.5,10.5,24.5,3.5
BT03260312R,Verian,2026-03-12,1471,04.03.–10.03.,26,15,13,3,11,23,3
BT05260314T,INSA,2026-03-14,1201,09.03.–13.03.,25,15,12,3,11,25,3
BT02260317V,Forsa,2026-03-17,2503,10.03.–16.03.,27,12,15,NA,11,23,3
BT05260317U,INSA,2026-03-17,2002,13.03.–16.03.,25.5,15,12,3,10.5,26,3.5
BT13260317U,YouGov,2026-03-17,1851,13.03.–16.03.,26,14,13,3,9,26,3
BT09260321W,Allensbach,2026-03-21,1045,27.02.–12.03.,28,16,11.5,4,10,23,NA
BT05260321V,INSA,2026-03-21,1205,16.03.–20.03.,26,15,12,3,11,25,3
BT02260324W,Forsa,2026-03-24,2501,17.03.–23.03.,26,12,15,NA,10,25,3
BT05260324W,INSA,2026-03-24,2010,20.03.–23.03.,26,15,12,3,10,26,3.5
BT06260327D,Forschungsgruppe Wahlen,2026-03-27,1206,24.03.–26.03.,26,13,15,NA,10,26,NA
BT05260328X,INSA,2026-03-28,1205,23.03.–27.03.,26,14,12,3,11,26,3
BT02260331X,Forsa,2026-03-31,2504,24.03.–30.03.,26,12,15,NA,10,25,3
BT05260331Y,INSA,2026-03-31,2006,27.03.–30.03.,26,14.5,12,3,10.5,26,3.5
BT01260401H,Infratest dimap,2026-04-01,1316,30.03.–31.03.,26,12,14,3,10,25,3
BT05260404A,INSA,2026-04-04,1199,30.03.–02.04.,25,13,12,3,11,26,4
BT02260407Y,Forsa,2026-04-07,1503,31.03.–02.04.,26,12,15,NA,10,26,NA
BT05260408B,INSA,2026-04-08,2002,02.04.–07.04.,25,13,12,3.5,10.5,26,4
BT03260410S,Verian,2026-04-10,1460,30.03.–07.04.,25,14,14,3,11,25,3
BT05260411C,INSA,2026-04-11,1205,07.04.–10.04.,25,14,13,3,10,26,4
BT02260414A,Forsa,2026-04-14,2502,07.04.–13.04.,24,12,15,4,11,26,NA
BT05260414D,INSA,2026-04-14,2006,10.04.–13.04.,25,14,12.5,3.5,10,26,3.5
BT13260415V,YouGov,2026-04-15,1763,10.04.–13.04.,23,13,14,4,10,27,4
BT09260417X,Allensbach,2026-04-17,1057,23.03.–09.04.,26,14,13,4,10,25,NA
BT06260417E,Forschungsgruppe Wahlen,2026-04-17,1355,14.04.–16.04.,25,12,14,3,11,26,NA
BT05260418E,INSA,2026-04-18,1201,13.04.–17.04.,24,14,13,3,11,27,3
BT02260421B,Forsa,2026-04-21,2502,14.04.–21.04.,24,12,15,4,11,26,NA
BT05260421F,INSA,2026-04-21,2003,17.04.–20.04.,24,14,12.5,3.5,11,26.5,3.5
BT05260425G,INSA,2026-04-25,1203,20.04.–24.04.,24,14,12,3,11,28,3
BT02260428C,Forsa,2026-04-28,2503,21.04.–27.04.,22,12,15,4,12,27,NA
BT05260428H,INSA,2026-04-28,2010,24.04.–27.04.,23.5,14,12.5,3.5,11,28,3.5
BT05260502I,INSA,2026-05-02,1207,27.04.–30.04.,24,14,13,3,11,28,3
BT02260505D,Forsa,2026-05-05,2002,28.04.–04.05.,22,12,16,4,11,27,NA
BT05260505J,INSA,2026-05-05,2008,30.04.–04.05.,24,13.5,13,4,10.5,27.5,3.5
BT01260507I,Infratest dimap,2026-05-07,1303,04.05.–06.05.,24,12,15,4,10,27,3
BT03260508T,Verian,2026-05-08,1448,28.04.–05.05.,24,13,15,4,10,25,3
BT06260508F,Forschungsgruppe Wahlen,2026-05-08,1240,05.05.–07.05.,25,12,13,3,11,27,NA
BT05260509K,INSA,2026-05-09,1200,04.05.–08.05.,23,13,13,3,11,28,3
BT09260511Y,Allensbach,2026-05-11,1015,18.04.–30.04.,25,12.5,14,4.5,10,26,NA
BT02260512E,Forsa,2026-05-12,2501,05.05.–11.05.,22,12,15,4,11,27,NA
BT05260512L,INSA,2026-05-12,2006,08.05.–11.05.,23,13,12.5,3.5,11,28,3.5
BT13260512W,YouGov,2026-05-12,1783,08.05.–11.05.,22,13,13,4,11,28,4
BT05260516M,INSA,2026-05-16,1203,11.05.–15.05.,22,12,14,3,10,29,3
BT02260519F,Forsa,2026-05-19,2000,12.05.–18.05.,22,12,14,4,11,28,3
BT05260519N,INSA,2026-05-19,2005,15.05.–18.05.,22,12.5,14,3.5,10.5,29,3.5
BT06260522G,Forschungsgruppe Wahlen,2026-05-22,1340,19.05.–21.05.,24,12,15,3,12,26,NA
BT05260523O,INSA,2026-05-23,1203,18.05.–22.05.,22,12,14,4,11,29,3
BT02260526G,Forsa,2026-05-26,2002,19.05.–22.05.,22,12,15,4,11,27,3
BT05260526P,INSA,2026-05-26,2010,22.05.–26.05.,22,12,14,4,10.5,29,3
BT05260530Q,INSA,2026-05-30,1205,26.05.–29.05.,22,12,14,3,11,29,3
BT04260601I,GMS,2026-06-01,1023,27.05.–01.06.,23,11,16,5,11,27,2
BT02260602H,Forsa,2026-06-02,2502,26.05.–01.06.,21,12,15,5,11,27,3
BT05260602R,INSA,2026-06-02,2006,29.05.–01.06.,22,12,13.5,3.5,10.5,29,3.5
BT03260603U,Verian,2026-06-03,1454,27.05.–02.06.,23,13,15,4,10,27,2
BT01260603J,Infratest dimap,2026-06-03,1326,01.06.–02.06.,23,13,14,4,10,27,3
BT06260605H,Forschungsgruppe Wahlen,2026-06-05,1247,01.06.–03.06.,25,12,14,3,11,27,NA
BT05260606S,INSA,2026-06-06,1206,01.06.–05.06.,21,12,14,3,11,29,3
BT02260609I,Forsa,2026-06-09,2502,02.06.–08.06.,22,11,15,5,11,27,3
BT05260609T,INSA,2026-06-09,2009,05.06.–08.06.,21,12,14.5,3.5,10.5,29,3.5
BT05260613U,INSA,2026-06-13,1203,08.06.–12.06.,22,13,14,3,10,29,3
BT02260616J,Forsa,2026-06-16,2500,09.06.–15.06.,21,12,15,5,11,27,3
BT05260616V,INSA,2026-06-16,2003,12.06.–15.06.,22,12,14.5,3.5,10.5,29,3.5
BT13260616X,YouGov,2026-06-16,1793,12.06.–15.06.,20,12,14,5,12,29,4
BT06260619I,Forschungsgruppe Wahlen,2026-06-19,1190,16.06.–18.06.,24,13,12,4,11,28,NA
BT05260620W,INSA,2026-06-20,1204,15.06.–19.06.,22,13,13,3,10,29,3
BT02260623K,Forsa,2026-06-23,2504,16.06.–22.06.,22,12,15,4,11,27,3
BT05260623X,INSA,2026-06-23,2008,19.06.–22.06.,21.5,12.5,13,4,10.5,29,3.5
BT09260624B,Allensbach,2026-06-24,1047,05.06.–17.06.,24,12.5,13,5.5,10,28,NA
BT09260624A,Allensbach,2026-06-24,1010,22.05.–05.06.,24,13.5,13,5,9.5,27,NA
BT05260627Y,INSA,2026-06-27,1204,22.06.–26.06.,22,12,13,4,10,29,3
BT02260630L,Forsa,2026-06-30,2505,23.06.–29.06.,22,12,15,4,12,26,3
BT05260630A,INSA,2026-06-30,2006,26.06.–29.06.,22,12,13,4,10.5,29,3.5
BT01260702K,Infratest dimap,2026-07-02,1317,29.06.–01.07.,22,12,15,4,11,27,NA
BT03260703V,Verian,2026-07-03,1470,24.06.–30.06.,22,13,15,4,11,27,3
BT05260704B,INSA,2026-07-04,1205,29.06.–03.07.,21,13,13,4,10,29,4
BT02260707M,Forsa,2026-07-07,2502,30.06.–06.07.,22,12,15,4,12,26,3
BT05260707C,INSA,2026-07-07,2010,03.07.–06.07.,22,12.5,13,4,10.5,29,4
BT05260711D,INSA,2026-07-11,1204,06.07.–10.07.,22,12,12,4,11,28,4
BT02260714N,Forsa,2026-07-14,2503,07.07.–13.07.,22,12,16,4,12,26,NA
BT05260714E,INSA,2026-07-14,2006,10.07.–13.07.,21.5,12.5,13,4,10.5,28.5,4
BT13260714Y,YouGov,2026-07-14,1827,10.07.–13.07.,20,12,14,5,12,27,4
BT06260717J,Forschungsgruppe Wahlen,2026-07-17,1284,14.07.–16.07.,23,12,14,4,13,27,NA
BT05260718F,INSA,2026-07-18,1201,13.07.–17.07.,21,13,13,4,10,29,3
BT04260720J,GMS,2026-07-20,1005,15.07.–20.07.,23,11,13,5,10,28,2
BT02260721O,Forsa,2026-07-21,2502,14.07.–20.07.,22,12,16,4,12,26,NA
BT05260721G,INSA,2026-07-21,2005,17.07.–20.07.,20.5,13,13,4.5,10.5,29,3.5
BT09260723C,Allensbach,2026-07-23,1040,03.07.–16.07.,24,13,13,5.5,10,26.5,NA
BT05260724H,INSA,2026-07-24,1204,20.07.–24.07.,21,12,14,4,11,28,4
BT02260728P,Forsa,2026-07-28,2502,21.07.–27.07.,21,12,16,4,13,27,NA
BT05260728I,INSA,2026-07-28,2006,24.07.–27.07.,21,12.5,13.5,4,11,28,4
BT03260731W,Verian,2026-07-31,1456,22.07.–28.07.,21,13,15,4,12,27,3
BT06260731K,Forschungsgruppe Wahlen,2026-07-31,1405,28.07.–30.07.,23,12,13,4,12,28,NA
BT05260802J,INSA,2026-08-02,1201,27.07.–31.07.,21,12,14,5,11,28,4
BT02260804Q,Forsa,2026-08-04,2501,28.07.–03.08.,21,12,16,4,12,28,NA
BT05260804K,INSA,2026-08-04,2004,31.07.–03.08.,21,12,13.5,5,11,28,4
